,genero,plataforma
1277,documentary,amazon
1278,action,amazon
1279, comedy,amazon
1280,action,amazon
1281, science fiction,amazon
1282,documentary,amazon
1283, special interest,amazon
1284,documentary,amazon
1285,documentary,amazon
1286, special interest,amazon
1287,documentary,amazon
1288, sports,amazon
1289,music videos and concerts,amazon
1290,tv shows,amazon
1291,drama,amazon
1292, suspense,amazon
1293,drama,amazon
1294,action,amazon
1295, drama,amazon
1296,documentary,amazon
1297,drama,amazon
1298, historical,amazon
1299, international,amazon
1300,action,amazon
1301, kids,amazon
1302, science fiction,amazon
1303,drama,amazon
1304, suspense,amazon
1305,animation,amazon
1306, comedy,amazon
1307, kids,amazon
1308,comedy,amazon
1309, kids,amazon
1310,horror,amazon
1311, suspense,amazon
1312,documentary,amazon
1313, faith and spirituality,amazon
1314, special interest,amazon
1315,documentary,amazon
1316, faith and spirituality,amazon
1317, special interest,amazon
1318,action,amazon
1319, military and war,amazon
1320,animation,amazon
1321, kids,amazon
1322,action,amazon
1323, horror,amazon
1324,young adult audience,amazon
1325,tv shows,amazon
1326,horror,amazon
1327, young adult audience,amazon
1328,horror,amazon
1329,horror,amazon
1330,documentary,amazon
1331, special interest,amazon
1332,horror,amazon
1333, science fiction,amazon
1334,western,amazon
1335,comedy,amazon
1336, drama,amazon
1337, romance,amazon
1338,drama,amazon
1339,action,amazon
1340, comedy,amazon
1341,drama,amazon
1342,drama,amazon
1343,documentary,amazon
1344,action,amazon
1345, adventure,amazon
1346, drama,amazon
1347,drama,amazon
1348,arts,amazon
1349, entertainment,amazon
1350, and culture,amazon
1351, drama,amazon
1352, romance,amazon
1353,action,amazon
1354, horror,amazon
1355, suspense,amazon
1356,horror,amazon
1357,drama,amazon
1358, romance,amazon
1359,animation,amazon
1360, kids,amazon
1361,drama,amazon
1362, faith and spirituality,amazon
1363, romance,amazon
1364,drama,amazon
1365,documentary,amazon
1366,comedy,amazon
1367,western,amazon
1368,action,amazon
1369, animation,amazon
1370, kids,amazon
1371,special interest,amazon
1372,action,amazon
1373, drama,amazon
1374,documentary,amazon
1375,comedy,amazon
1376,drama,amazon
1377,action,amazon
1378,drama,amazon
1379,tv shows,amazon
1380,special interest,amazon
1381, unscripted,amazon
1382,drama,amazon
1383,documentary,amazon
1384,drama,amazon
1385,comedy,amazon
1386, drama,amazon
1387,drama,amazon
1388,music videos and concerts,amazon
1389,action,amazon
1390, drama,amazon
1391,arts,amazon
1392, entertainment,amazon
1393, and culture,amazon
1394,comedy,amazon
1395, kids,amazon
1396,comedy,amazon
1397,kids,amazon
1398,comedy,amazon
1399, drama,amazon
1400, kids,amazon
1401,drama,amazon
1402,documentary,amazon
1403,comedy,amazon
1404,action,amazon
1405, fantasy,amazon
1406, science fiction,amazon
